epoch,accuracy,loss,val_accuracy,val_loss
0,0.5566666722297668,1.2936395406723022,0.6399999856948853,1.1365886926651
1,0.6433333158493042,1.067368507385254,0.6399999856948853,1.0135865211486816
2,0.6433333158493042,1.0084153413772583,0.6399999856948853,1.0037050247192383
3,0.6433333158493042,0.9914646148681641,0.6399999856948853,1.0013494491577148
4,0.6433333158493042,0.983380138874054,0.6399999856948853,0.9969288110733032
5,0.6433333158493042,0.9802893996238708,0.6399999856948853,0.9905003309249878
6,0.6433333158493042,0.9717481732368469,0.6399999856948853,0.9698106646537781
7,0.6433333158493042,0.9433674216270447,0.6399999856948853,0.9227806925773621
8,0.6433333158493042,0.8931236863136292,0.6399999856948853,0.8705959916114807
9,0.6733333468437195,0.8073241114616394,0.6499999761581421,0.838105320930481
10,0.7099999785423279,0.7453794479370117,0.6600000262260437,0.7646164894104004
11,0.7599999904632568,0.6498072147369385,0.6299999952316284,0.796822726726532
12,0.8033333420753479,0.5740582942962646,0.7099999785423279,0.7257397174835205
13,0.8633333444595337,0.4861251711845398,0.75,0.6926068663597107
14,0.8766666650772095,0.4168495535850525,0.7599999904632568,0.6928791999816895
15,0.8899999856948853,0.3790954351425171,0.7799999713897705,0.6410585045814514
16,0.9066666960716248,0.31938421726226807,0.75,0.7152992486953735
17,0.9200000166893005,0.2972062826156616,0.75,0.7223465442657471
18,0.9399999976158142,0.2708114683628082,0.7799999713897705,0.6749851107597351
19,0.95333331823349,0.1911792755126953,0.7799999713897705,0.6701605916023254
20,0.9599999785423279,0.167125403881073,0.7699999809265137,0.6868466138839722
21,0.9700000286102295,0.14663520455360413,0.7599999904632568,0.7036423683166504
22,0.9733333587646484,0.12114051729440689,0.7699999809265137,0.7662017941474915
23,0.9766666889190674,0.10210832953453064,0.75,0.7494807243347168
24,0.9866666793823242,0.08595094829797745,0.75,0.7588710784912109
